index,Name,Platform,RatingOutOf20,Publisher,Year,Classification,Description,Genre
2215,Metal Gear Solid: Digital Graphic Novel,PSP,14/20,Konami Digital Entertainment,2006.0,+16 ans,"After trying to infiltrate Solid Snake on PSP with Metal Gear Acid, Konami returns and offers us Metal Gear Solid Digital Graphic Novel. This time the player will be able to relive the events of MGS 1 and discover all its secrets in the form of animated comics. Is the title worth it?",Misc
2216,Metal Gear Solid: Peace Walker,PSP,17/20,Konami Digital Entertainment,2010.0,+18 ans,"Following in the footsteps of Metal Gear Solid: Portable Ops, Peace Walker aims to be much more ambitious. Thus, if the Kojima Team title exploits and explodes the concept of the infiltration management game, it strives to make its contribution to the building of Metal Gear Solid. The result, imperfect but devilishly generous, shows us that the PSP still has something under the hood.",Action
2217,Metal Gear Solid: Portable Ops,PSP,16/20,Konami Digital Entertainment,2006.0,+16 ans,"After having drawn two very interesting metal gear acid but by several frustrating sides, Konami offers us a real Metal Gear Solid on the Sony console by monitoring the shape of Metal Gear Solid 3: Snake Eater while deepening the bottom. The result, not free from defects, agrees more with the wishes of early fans, more used to action &#47;",Action
2218,Metal Gear Solid: Portable Ops Plus,PSP,10/20,Konami Digital Entertainment,2007.0,+16 ans,"Metal Gear Solid: The Twin Snakes, Metal Gear Solid 2 Substance, Metal Gear Solid 3 Subsistence... Recently, Konami and even more so most video game developers and publishers have understood, in the same way as film directors and the majors, that several versions of a work are better than one. Collector's version, remixed or, in this case, simply adorned with a ""Plus"", everything is good for the fan to take out a few extra rupees. Now the big question is whether this new Metal Gear Solid Portable Ops stood out on its own...",Action
2219,Metal Gear Solid 2: Sons of Liberty,PS2,19/20,Konami Digital Entertainment,2001.0,+16 ans,"Now no need to count the months, the days and the hours that have made us martyrs of the video game since the announcement of Metal Gear Solid: Sons of Liberty on PS2. The most anticipated game of the decade and undoubtedly the most overwhelming arrives with us, almost a year after the playable demo delivered with Z.O.E. The wait was not in vain, and it is a real black hole that seizes the player from start to finish, transforming all the priorities of yesterday into futile and outdated concerns, while we do not To more than one existential question in mind: can we yes or not come out unscathed from MGS2?",Action
2220,Metal Gear Solid 2: Substance,PS2,17/20,Konami Digital Entertainment,2002.0,+16 ans,"When Konami decides to celebrate the first anniversary of Metal Gear Solid 2, it is the whole community of players who find himself in the same state of feverish nervousness to welcome the event as it should. The masterpiece of Hideo Kojima therefore makes an expected return to PS2, in a second edition to reserve for fans of the ""Tactical Espionage Action Game"".",Action
2221,Metal Gear Solid 3: Snake Eater,PS2,19/20,Konami Digital Entertainment,2004.0,+12 ans,"Seeing how far the Metal Gear series has come since its arrival on MSX, we can only be admiring. Although the undercover action genre is very popular these days, few titles will successfully stand the test of time in order not to be forgotten. And this is where we recognize the genius of the Konami saga which since it gave itself the suffix Solid never ceases to dazzle us, each opus being produced in a surgical manner so as not to leave to chance. Snake Eater is no exception to the rule and represents another stone in the building which now exceeds the peaks of the series' quality charter to rub shoulders with clouds of reverie, pleasure and perfection...",Action
2222,Metal Gear Solid 4: Guns of the Patriots,PS3,17/20,Konami Digital Entertainment,2008.0,+18 ans,"Haunted by his tragic past, devoured by the Foxdie virus, Snake returns to us breathless in the middle of a war where nano-technical components are as important as the balls. Relic for a bygone era, our hero is advancing to settle his accounts and finish once and for all with his nemesis: Liquid. Spreading the bodies, sneaking in the shadows, melting into its environment, legend does the honor of a new pass of arms with its lifelong enemies.",Action
2223,Metal Gear Solid V: Ground Zeroes,PS3,14/20,Konami Digital Entertainment,2014.0,+18 ans,"After a few years of waiting, Metal Gear Solid returns to the forefront and takes advantage of the release of the PlayStation 4 and Xbox One consoles to provide players with a more immersive experience than ever. We tested the prologue of this 5th episode of the saga for you and against all expectations: the copy is far from perfect...",Action
2224,Metal Gear Solid V: Ground Zeroes,PS4,14/20,Konami Digital Entertainment,2014.0,+18 ans,"After a few years of waiting, Metal Gear Solid returns to the forefront and takes advantage of the release of the PlayStation 4 and Xbox One consoles to provide players with a more immersive experience than ever. We tested the prologue of this 5th episode of the saga for you and against all expectations: the copy is far from perfect...",Action
2225,Metal Slug 7,DS,12/20,Ignition Entertainment,2008.0,+12 ans,"Metal Slug follow one another and resemble each other, that's a fact, but if they always remain so funny and fun, why deprive yourself of it? However, does this observation apply to the seventh episode exclusive to the Nintendo DS? This is a question likely to feed into the debriefing below.",Shooter
2226,Metal Slug Advance,GBA,12/20,Ignition Entertainment,2004.0,+12 ans,"Proud standard of the Neo Geo, the Metal Slug series has long left the nest to explore other horizons by exporting for example to PS2 and Xbox. Today, she is eyeing the small GBA to whom she is giving a brand new episode very soberly called Metal Slug Advance. It remains to be seen whether by dint of wandering here and there, the series has been able to maintain its integrity.",Shooter
2227,Metal Slug XX,PSP,11/20,DHM Interactive,2009.0,+12 ans,"Although the title changes, make no mistake. Metal Slug XX is neither more nor less than the PSP adaptation of the 7th opus released on Nintendo DS in 2008. A daring operation on the part of SNK, especially since everything is sold at a high price and it does not offer nothing really new.",Shooter
2228,Meteos,DS,17/20,Nintendo,2005.0,+3 ans,"Be careful, legendary game! Everything you are going to read on this page has one and only one goal: to draw your attention to a title which is likely to go unnoticed despite its obvious playful qualities. Meteos is a unique experience that every player must try at least once in their life. One of the very best games on the Nintendo DS, without a doubt!",Puzzle
2229,Meteos: Disney Magic,DS,15/20,Disney Interactive Studios,2007.0,+3 ans,"The great Meteos gets a second lease of life with this special edition dedicated to the colorful worlds of planet Disney. The perfect opportunity for young people to discover one of the best puzzle games available to date on DS, revisited to make it as accessible as possible. If this version will certainly not replace the original in the hearts of fans, its interest lies in the fact that it is not a stupid reissue but a version which stands out a lot from the initial game.",Puzzle
2230,Personal Trainer: Math,DS,5/20,Nintendo,2007.0,+3 ans,"Improving the user's personal abilities is a vein that Nintendo seems to want to exploit to the point of exhaustion. Latest representative of the Touch! Generations, Professor Kageyama's Mathematical Method, intends to help you improve your calculation skills. Unfortunately, this title is method only in name, and combines major educational deficiencies with a non-existent playful aspect.",Puzzle
2231,Metro: Last Light,PS3,15/20,Deep Silver,2013.0,+18 ans,"Three years after the release of Metro 2033, 4A Games returns with a sequel adopting a similar principle. So prepare yourself for a narrative FPS based on a gripping atmosphere and a marked survival-horror side, while offering a corridor and scripted aspect à la Call of Duty. If this formula worked in 2010, is it still relevant in 2013?",Action
2232,Metro: Last Light,PC,15/20,Deep Silver,2013.0,+18 ans,"Three years after the release of Metro 2033, 4A Games returns with a sequel adopting a similar principle. So prepare yourself for a narrative FPS based on a gripping atmosphere and a marked survival-horror side, while offering a corridor and scripted aspect à la Call of Duty. If this formula worked in 2010, is it still relevant in 2013?",Action
2233,Metro 2033,PC,16/20,THQ,2010.0,+18 ans,"FPS from the East are legion but rarely very memorable. However, some are capable of doing well. Escaped from the team that gave birth to STALKER, the people of 4A Games deliver their vision of the nuclear apocalypse in a way that is not quite the one that we expected.",Shooter
2234,Metroid: Other M,Wii,18/20,Nintendo,2010.0,+16 ans,"Three years after Metroid Prime: Corruption, Metroid Other M arrives with plenty of promise. A more advanced storyline, original gameplay, breathtaking staging, so many elements that left us dreaming for months in front of the superb images of the game. But today, the title from Nintendo and Team Ninja is on the shelves , and you're all wondering what the verdict is... Follow the guide.",Action
2235,Metroid: Zero Mission,GBA,17/20,Nintendo,2004.0,+7 ans,"Nintendo marks a true return to its roots with this new chapter in the Metroid saga which honors the series by drawing on each of the episodes, from the original NES opus to the brilliant GameCube installment. As usual, the experience is unforgettable but the gaming pleasure is far too short.",Adventure
2236,Metroid Fusion,GBA,18/20,Nintendo,2002.0,+3 ans,"After years of radio silence and a well-deserved stay in the depths of space, Samus Aran rises from oblivion to add a new stone to the edifice of the Metroid saga. It is not for nothing that the heroine of one of the most legendary series in the history of video games has been able to grant herself a reputation that would make any other video game character pale, to the point of rubbing shoulders with the emblematic figures of Nintendo in Super Smash Bros Melee. The reunion with Samus already promised to be exceptional, but ultimately turned out to be overwhelming.",Action
2237,Metroid II: Return of Samus,GB,17/20,Nintendo,1991.0,+7 ans,"Since its creation by Nintendo, Metroid has always been entitled to at least one title on each of the firm's consoles. We remember many components but not necessarily Metroid II on Gameboy. This episode was even sadly nicknamed ""Forgotten"". If this pseudonym seems to return to a black passage from the cult series, it is not.",Adventure
2238,Metroid Prime 3: Corruption,Wii,17/20,Nintendo,2007.0,+12 ans,"A trilogy that is coming to an end, a heroine determined to put her own life on the line to fulfill her ultimate duty, and a name that will remain in everyone's memory. What will be the future of Metroid Prime after this much-desired finale? No one can say, but none of those who completed the latest adventures of Samus Aran on GameCube would miss this third installment, the first in the series to take advantage of the particularities of the Wii.",Shooter
2239,Metroid Prime: Federation Force,3DS,13/20,Nintendo,2016.0,+12 ans,"We cannot say that Federation Force's task is easy. A spin-off rather far removed from the initial spirit of the series, the title is immediately the receptacle of all the hatred from fans, furious at not seeing ""a real Metroid"". But if we put aside all these subjective elements, what do we have in our hands?",Action
2240,Metroid Prime Pinball,DS,16/20,Nintendo,2005.0,+7 ans,"It's been so long overdue that we almost forgot about it. The pinball machine in the colors of Metroid Prime has finally decided to take over France, although it has been available for a long time in the United States and Japan. Better late than never, they say, and this is even more true in the case of this Metroid Prime Pinball which is one of those games that you can't do without once you've tried it.",Misc
2241,Miami Law,DS,11/20,Konami Digital Entertainment,2009.0,+16 ans,"Hesitating between Phoenix Wright, CSI and Time Crisis, Miami Crisis is a sort of potpourri of these three franchises. Multiplying styles, Hudson's title therefore avoids the trap of being locked into a very specific category. Now, we wonder whether this lack of standardization is an advantage or a disadvantage.",Adventure
2242,Miami Nights: Singles in the City,DS,7/20,Ubisoft,2008.0,+12 ans,"Coming from the small world of mobile phone games, Miami Nights emancipates itself by moving to Nintendo DS. The Gameloft title gains in passing an all-3D design and stylus playability. For the rest, almost nothing has changed.",Simulation
2243,Michael Jackson: The Experience,PS3,13/20,Ubisoft,2011.0,+3 ans,"After a rather disappointing Wii version and absolutely disastrous portable versions, Michael Jackson: The Experience arrives today on Playstation 3. More complete and user-friendly than its predecessors, will this HD opus be able to convince fans of the King of Pop ?",Misc
2244,Michael Jackson: The Experience,DS,6/20,Ubisoft,2010.0,+3 ans,"Despite his passing last year, Michael Jackson continues to live on in everyone's minds through his incredible career, his interplanetary hits and his unforgettable choreographies. On the other hand, if there is one thing that we risk forgetting very quickly, it is Michael Jackson: The Experience on DS...",Misc
2245,Michael Jackson: The Experience,PSP,4/20,Ubisoft,2010.0,+3 ans,"Despite his passing last year, Michael Jackson continues to live on in everyone's minds through his incredible career, his interplanetary hits and his unforgettable choreographies. On the other hand, if there is one thing that we risk forgetting very quickly, it is Michael Jackson: The Experience on PSP...",Misc
2246,Michael Jackson: The Experience,Wii,11/20,Ubisoft,2010.0,+3 ans,"Who has never dreamed of imitating the great Michael Jackson by reproducing one of his famous choreographies in their living room to dazzle a neighbor or a classmate? Thanks to The Experience, this dream is now becoming a reality but fans of the King of Pop should not rejoice too quickly, we are far from the tribute we had the right to expect...",Misc
2247,Michael Jackson: The Experience 3D,3DS,11/20,Ubisoft,2011.0,+12 ans,"Let it be said, the King of Pop is indeed still alive. You will have a hard time going to see him in concert but he always makes the hearts of his fans vibrate and his most famous melodies continue to irresistibly stir the buttocks of all the dancers in the world. Now you can carry some of his most famous songs in your pocket and twirl your stylus to the rhythm of his words.",Misc
2248,Mickey's Speedway USA,N64,14/20,Nintendo,2000.0,+3 ans,"Mario Kart fans in need of a revival will be over the moon, especially when they know that the next game in the genre was developed in Rare's laboratories. The publisher is not his first attempt in this area, since we also owe him the excellent Diddy Kong Racing. So, when Rare joins forces with Disney Interactive, we are bound to expect something big.",Racing
2249,Micro Machines V4,PS2,12/20,Codemasters,2006.0,+3 ans,Here is the chtitis cars. The micro machine series makes a question of questionable interest on PS2. A title that has not changed an iota since its first appearance on Nes and Megadrive. Suffice to say that the concept is starting to run out seriously.,Racing
2250,Micro Machines V4,PS2,14/20,Codemasters,2006.0,+3 ans,"Having had its heyday a good ten years ago now, the MicroMachines series has been able to modernize to keep up with video game developments without losing what made it so charming at the time. It is therefore with a certain emotion that we throw ourselves headlong into these crazy races which have, in my opinion, lost none of their intensity.",Racing
2251,Micro Machines 64 Turbo,N64,14/20,Codemasters,1999.0,+3 ans,"We've been waiting for its adaptation on N64 for a long time. This time, that's it, the Micro Machines are back and we'll be able to play with 8 people!!",Racing
2252,Micro Machines V4,PSP,14/20,Codemasters,2006.0,+3 ans,"Having had its heyday a good ten years ago now, the MicroMachines series has been able to modernize to keep up with video game developments without losing what made it so charming at the time. It is therefore with a certain emotion that we throw ourselves headlong into these crazy races which have, in my opinion, lost none of their intensity.",Racing
2253,Midnight Club II,PS2,17/20,Take-Two Interactive,2003.0,+3 ans,"Illegal car races in two major cities in the world. This is what Take 2 offers us with Midnight Run, a very well-made simulation game that will allow you to laugh at the highway code with complete impunity.",Racing
2254,Midnight Club II,PS2,16/20,Take-Two Interactive,2003.0,+16 ans,Arcade racing games follow one another but only a few titles manage to hold the top spot. Providing a ride that is both simple and splitting is not as easy as it seems. Midnight Club 2 achieves this and invites us to take part in its very frosty races. But is all this moral?,Racing
2255,Midnight Club: Los Angeles,PS3,16/20,Take-Two Interactive,2008.0,+12 ans,"Brought up to date, the city of angels welcomes the fourth opus of the Midnight Club series. If we were able to wait in contact with the Dub Edition Remix, it is clear that the wait was long. And for its first steps on new generation consoles, Rockstar's game intends to show who reigns supreme in the underground world of street racing.",Racing
2256,Midnight Club: Street Racing,GBA,7/20,Rebellion,2001.0,+3 ans,"Given the quality of the home console versions of Midnight Club, we expected a successful Gameboy Advance port. Unfortunately the disappointment is huge. The cartridge tested today is indeed riddled with defects that are very difficult to forgive. Instead, read the following and you will understand...",Racing
2257,Midnight Club 3: DUB Edition,PSP,12/20,Take-Two Interactive,2005.0,+3 ans,"Not really creating a surprise, the main tuning games flow into the PSP, not even giving it time to take the plunge. Along with Need For Speed ​​Underground Rivals, Midnight Club 3 is also coming to our PSP. Having not left a lasting memory on home consoles, despite good ideas and quality production, Rockstar's software is in fact trying to find new legitimacy. Will the old fox find a new hunting ground, or will he stay in his den on an empty stomach? Response with loud flashes of neon.",Racing
2258,Midnight Mysteries: The Edgar Allan Poe Conspiracy,PC,11/20,GSP,2009.0,+7 ans,"We thought the point'n'click genre was dead and buried since the end of the 90s but that was without counting on independent studios which, for several years, have been releasing new little gems such as Machinarium or The Tiny Bang Story. Midnight Mysteries: The Conspiracy of Edgar Allan Poe appeared in July 2009 on the Steam platform and puts us in the shoes of a young contemporary novelist in search of ideas for his next work. Also an investigator at heart, the hero will have to search the game's numerous tables for a host of hidden objects in order to solve the mystery surrounding the death of author Edgar Allan Poe.",Adventure
2259,Midnight Play! Pack,DS,14/20,Ubisoft,2008.0,+12 ans,"Gameloft is a key developer in the field of mobile games, but also in that of casual and family games, as evidenced by the success of Cerebral Challenge on Xbox Live Arcade. Midnight Play! Pack combines these two know-how: a compilation of five great Gameloft classics on a mobile phone, it allows you to indulge, alone or with others, in a range of popular activities in the Saturday evening atmosphere of trendy bars .",Misc
2260,Midway Arcade Treasures: Extended Play,PSP,9/20,Midway Games,2005.0,+16 ans,"After having moderately convinced its world through its compilations of old titles from the firm on PC and home consoles, Midway is at it again and trying to pass off its Midway Arcade Treasure: Extended Play incognito. Unfortunately for the company, their attempt to bypass a market saturated with ""best of"" 80s trends is turning into an old Trafalgar stunt. Let's enter this strange world, full of big pixels and stinging music in order to understand the interest we had, small and innocent, in distributing newspapers or in exterminating aliens who are inevitably slobbery and perverse. A journey from which no one will emerge unscathed, rest assured.",Misc
2261,Might & Magic Heroes VI,PC,10/20,Ubisoft,2011.0,+16 ans,"You can put away your tissues, the sinking of Black Hole Entertainment did not mean the end of Might & Magic Heroes VI. The title indeed returns from darkness through a stand-alone which plays the darkness card. This one focuses on the fate of dark elves and necromancers. Are the additions worth the detour or will the few persistent technical issues prevent you from fully enjoying the experience?",Role-Playing
2262,Might & Magic Heroes VI,PC,16/20,Ubisoft,2011.0,+12 ans,"Renamed Might & Magic Heroes to harmonize the titles of all the games in the license, Heroes of Might & Magic is back in a sixth installment still supervised by Ubisoft, but this time entrusted to the Hungarians of Black Hole Entertainment. The latter endeavored to return to the basics of Heroes III, which is considered the most successful episode, while introducing certain developments intended to bring the series into modernity.",Role-Playing
2263,Might & Magic Heroes VII,PC,14/20,Ubisoft,2015.0,Unknown,"Might and Magic Heroes VII (M&MH VII) is a dilemma for its developer Limbic. Blowing out its twenty candles, the license is bound hand and foot by the almost mystical veneration of fans for the third episode of the saga, released recently in an HD version stripped of its DLC. Because since the release of the fourth part, the innovations have divided, the additions have disconcerted and Might & Magic has constantly come up against the pleas of players. For this seventh episode, the Germans from Limbic, still under the leadership of Ubisoft, opted for a community approach centered around listening to the community's grievances. The result is a title in the “best of” spirit of the main popular principles of the license, without taking much risk of course, but in the image of what the players wanted to find. Is this a success? Answers without further ado in this test.",Strategy
2264,Mike Tyson Boxing,GBA,7/20,Ubisoft,2002.0,+7 ans,Aficionados of the pleasures of the ring will be happy to learn of the release of a new boxing game on GBA. Unfortunately a large number of them will quickly become disillusioned at the sight of certain defects that it is difficult to forgive in this cartridge.,Sports
2265,Minecraft,PS4,17/20,Sony Computer Entertainment Europe,2014.0,Unknown,"“Minecraft is immortal”, that’s pretty much what Mojang wants to say to the whole world with this second console adaptation for the Web UFO that has conquered the planet. After all, with more than 55 million copies sold, all platforms combined, we can understand the enthusiasm at Sony and Microsoft about this ""new-gen"" update of the title. Happy owners of PlayStation 4 and Xbox One can therefore tease the pixel without feeling insulted towards the GPU of their console because Minecraft, despite its somewhat dated graphic appearance, remains an experience that absolutely must be tested.",Misc
2266,Mini Desktop Racing,Wii,3/20,Popcorn Arcade,2007.0,+3 ans,All those who have known the era of micromachines know that this is a safe bet of multiplayer. This pioneer series has been able to set up a completely new concept in the field of racing games and it is shameless that the Data Design Interactive studio offers a failed copy that we would have gone well.,Racing
2267,Mini Ninjas,PC,16/20,Eidos Interactive,2009.0,+7 ans,"The developers of Hitman and Kane & Lynch hit where we least expected them. While they had accustomed us to mature and violent titles, here they are creating a game accessible to the youngest. But where most developers botch productions intended for players in short pants, the Io Interactive teams had the good taste to take care of their baby.",Action
2268,Mini Ninjas,DS,9/20,Eidos Interactive,2009.0,+7 ans,"The versions of Mini Ninjas released on home consoles have seduced us, but that does not necessarily mean that the title that awaits us on DS is as enchanting as the others. Indeed, the adaptation of a license on Nintendo's small laptop always results in a graphical overhaul and an overhaul of the gameplay. The developers are doing more or less well with this exercise and it must be recognized that Mini Ninjas does not really set a good example in this area.",Action
2269,Mini Ninjas,Wii,14/20,Eidos Interactive,2009.0,+7 ans,"The developers of Hitman and Kane & Lynch hit where we least expected them. While they had accustomed us to mature and violent titles, here they are creating a game accessible to the youngest. But where most developers botch productions intended for players in short pants, the Io Interactive teams had the good taste to take care of their baby.",Action
2270,Mini Ninjas,PS3,16/20,Eidos Interactive,2009.0,+7 ans,"The developers of Hitman and Kane & Lynch hit where we least expected them. While they had accustomed us to mature and violent titles, here they are creating a game accessible to the youngest. But where most developers botch productions intended for players in short pants, the Io Interactive teams had the good taste to take care of their baby.",Action
2271,Minority Report: Everybody Runs,GBA,12/20,Activision,2002.0,+12 ans,"Also released on 128-bit consoles, Steven Spielberg's latest film starring Tom Cruise in an adaptation of a short story by Philip K. Dick makes a moderately notable appearance on GBA. A title which mainly suffers from its lack of ambition and which will therefore only interest die-hard fans of the film.",Action
2272,Minority Report: Everybody Runs,PS2,12/20,Activision,2002.0,+12 ans,"March 2003, Activision is preparing to launch a Playstation 2 title on the market which is none other than the adaptation of the film Minority Report. Crime must be stopped at all costs before it takes place. Agent Logan, you must prevent this crime at all costs and warn players who would like to get their hands on this illicit product thinking they will have as much fun playing this game as watching Steven Spielberg's little cinematic gem.",Action
2273,Mirror's Edge,PC,17/20,Electronic Arts,2009.0,+7 ans,"In just a few months, Electronic Arts and DICE had no difficulty creating an ultra-positive buzz around Mirror's Edge. Very quickly attractive, the one that we can consider as a UFO has however never fully revealed itself, being content with snippets of gameplay and a short demo. So here is our truth about the first part of a trilogy which, without a doubt, already has many fans. The details of this PC version are found in the note block and in conclusion.",Platform
2274,Mirror's Edge,PS3,17/20,Electronic Arts,2008.0,+7 ans,"In just a few months, Electronic Arts and DICE had no difficulty creating an ultra-positive buzz around Mirror's Edge. Very quickly attractive, the one that we can consider as a UFO has however never fully revealed itself, being content with snippets of gameplay and a short demo. So here is our truth about the first part of a trilogy which, without a doubt, already has many fans.",Platform
2275,Mission: Impossible - Operation Surma,GBA,8/20,Atari,2003.0,+12 ans,"Hello Mr. Phelbs, your mission, if you accept it, will be to enter an irradiated military complex, guarded by 2580 men trained in combat since CM2, equipped with second generation movement sensors, blindfolded, naked , eating sauerkraut with one arm behind his back. You have five minutes, good luck. Pssssch (sound of the tape self-destructing). Impossible mission ? You have not seen anything yet.",Platform
2276,Mission: Impossible - Operation Surma,PS2,10/20,Atari,2003.0,+12 ans,"Your mission, if you accept it, will be to ride brilliantly or profitably on the success of the infiltration. Your target is an NSA agent known by the code name Splinter Cell. Be careful, the guy is super strong, so either you're as good as hell, or you're counting on the license to compensate for all the things that are completely screwed up in the game. How? Have you chosen your method? Okay then I'm self-destructing.",Platform
2277,Mobile Light Force 2,PS2,7/20,Taito,2002.0,+12 ans,"Mobile Light Force 2 is part of this wave of games that cross our borders discreetly, without really being invited. this time, it's a Japanese shoot'em up called Shikigami no Shiro which is renamed Mobile Light Force 2 in our latitudes, why, how? No idea, the only thing I can tell you is that you will get the hang of it very quickly.",Shooter
2278,Mobile Suit Gundam: Federation vs. Zeon,PS2,12/20,Atari,2001.0,+12 ans,"Unconditional Gundam fans, be happy, Infogrames is thinking of you by distributing this umpteenth video game adaptation of the famous Japanese series. A title that only a fan will be able to appreciate and that the average player will quickly drop in a dusty corner.",Simulation
2279,Mobile Suit Gundam: Crossfire,PS3,8/20,Namco Bandai Games,2006.0,+12 ans,"Anthology series that has rocked and still rocks generations of Japanese, Gundam is a myth that we hardly dare criticize on the archipelago, for fear of finding ourselves in the pillory. If many video game adaptations have paid homage to the Mobile Suits and other Federation fighters, the quality has often rubbed shoulders with mediocrity to the happiness and misfortune of hardened fans. Gundam: Target In Sight therefore had to honor the creation of Tomino and Yadate as the first representative of the legend on PS3. It's a shame that this idea didn't occur to the developers.",Simulation
2280,ModNation Racers,PSP,11/20,Sony Computer Entertainment,2010.0,+7 ans,"By launching ModNation Racers on PS3, Sony managed to impose a concept. It is therefore logical that the manufacturer would benefit from this in its portable console. If the communication around this version was rather timid, we expected a title of equivalent quality. It's missed.",Racing
2281,ModNation Racers,PS3,16/20,Sony Computer Entertainment,2010.0,+7 ans,"ModNation Racers wants to be for Sony consoles what Mario Kart is for Nintendo consoles: a fun and friendly racing game, totally unbridled to play mainly in multiplayer, whether split screen or online. Mission accomplished ?",Racing
2282,Ghostbusters: The Video Game,PSP,11/20,Atari,2009.0,+3 ans,"We are now accustomed to the endless release of video game adaptations of successful films and series. Of average quality, or sometimes frankly failures because they were developed too quickly or with a blatant lack of resources, it must be admitted that the trend is now towards a slight improvement in the general level of these titles. Despicable Me: Does the Video Game follow this progression? Answer in this test...",Action
2283,Ghostbusters: The Video Game,PSP,10/20,Atari,2009.0,+7 ans,"We may say that the 80s were a long journey through the cultural desert, but they nevertheless produced a lot of good things. Between two conceptual hairstyles and the fluorescent mittens, they gave birth to Ghostbusters.",Action
2284,Ghostbusters: The Video Game,PS2,11/20,Atari,2009.0,+3 ans,"We are now accustomed to the endless release of video game adaptations of successful films and series. Of average quality, or sometimes frankly failures because they were developed too quickly or with a blatant lack of resources, it must be admitted that the trend is now towards a slight improvement in the general level of these titles. Despicable Me: Does the Video Game follow this progression? Answer in this test...",Action
2285,Ghostbusters: The Video Game,PS2,11/20,Atari,2009.0,+7 ans,"We may say that the 80s were a long journey through the cultural desert, but they nevertheless produced a lot of good things. Between two conceptual hairstyles and the fluorescent mittens, they gave birth to Ghostbusters.",Action
2286,Ghostbusters: The Video Game,Wii,11/20,Atari,2009.0,+3 ans,"We are now accustomed to the endless release of video game adaptations of successful films and series. Of average quality, or sometimes frankly failures because they were developed too quickly or with a blatant lack of resources, it must be admitted that the trend is now towards a slight improvement in the general level of these titles. Despicable Me: Does the Video Game follow this progression? Answer in this test...",Action
2287,Ghostbusters: The Video Game,Wii,11/20,Atari,2009.0,+7 ans,"We may say that the 80s were a long journey through the cultural desert, but they nevertheless produced a lot of good things. Between two conceptual hairstyles and the fluorescent mittens, they gave birth to Ghostbusters.",Action
2288,Mojo!,PS2,9/20,Mindscape,2003.0,+3 ans,"In these times of video game shortage, it is rare to come into contact, not with occult forces (although...), but with software offering a real scenario. Mojo's! easily surpasses small-scale productions like Chrono Cross or even Xenogears. You are a ball of Mojo, source of life, and must recover this fluid trapped in ice cubes by a diabolical force, in order to restore peace in the universe. It takes my breath away.",Puzzle
2289,Monopoly,DS,11/20,Electronic Arts,2010.0,+3 ans,"One of the most popular board games comes to DS. After participating in a compilation of board games on this same machine, Monopoly invests an entire cartridge.",Misc
2290,Monopoly Party,PS2,8/20,Infogrames,2002.0,+3 ans,"How can we understand this strange determination to make a user-friendly board game a video game devoid of meaning and interest? Monopoly Party, a strict replica of the original game, brings nothing new apart from a boring, cheap and almost annoying version of this international hit.",Misc
2291,Monopoly,Wii,13/20,Electronic Arts,2008.0,+3 ans,"Who doesn't know Monopoly? One of the most popular board games for decades, it has crossed generations by livening up family evenings, whether young children or their ancestors. Today, Monopoly Streets invites you to rediscover the world of board games on your home console. With success ?",Misc
2292,Monopoly,PS3,13/20,Electronic Arts,2008.0,+3 ans,"Who doesn't know Monopoly? One of the most popular board games for decades, it has crossed generations by livening up family evenings, whether young children or their ancestors. Today, Monopoly Streets invites you to rediscover the world of board games on your home console. With success ?",Misc
2293,Monster Force,GBA,13/20,Universal Interactive,2002.0,+3 ans,"It is very difficult today to be a monster. We are constantly rejected by others, we are misunderstood, and we have no friends. However, the monsters are not mean! Okay, they have a dirty face and a constipated pepper process, but hey they are still nice, right?",Shooter
2294,Monster High: Ghoul Spirit,DS,6/20,THQ,2011.0,+3 ans,"Originally, there were the Mattel dolls and then came the animated series. If in itself the idea of ​​offering toys inspired by classic horror films was original, established conventions quickly caught up with the creators. In fact, if the objective was to make the little girls spend money to dress their little ones in plastic, the series presented itself as a sort of Saved by the Bell sprinkled with a little touch of madness. As one might expect, the video game uses the formula by integrating objectives, customization and chatter.",Misc
2295,Monster High: Ghoul Spirit,Wii,8/20,THQ,2011.0,+3 ans,"Originally, there were the Mattel dolls and then came the animated series. If in itself the idea of ​​offering toys inspired by classic horror films was original, established conventions quickly caught up with the creators. In fact, if the objective was to make the little girls spend money to dress their little ones in plastic, the series presented itself as a sort of Saved by the Bell sprinkled with a little touch of madness. As one might expect, the video game uses the formula by integrating objectives, customization and chatter.",Misc
2296,Monster House,GBA,8/20,THQ,2006.0,+3 ans,"A barely disguised homage to the cardboard facades of ghost trains, with marchmallow and artificial cobwebs included, the front of a hideous hut welcomes us to the title screen and promises some joyful dirty hours. Faced with a film full of ambitions (we have heard of, among other things, the revival of animated films for children), it is easy to perceive the video game adaptation on GBA as a fairground and parodic ride. Won: it is this niche that THQ chooses from the start since it is a rudimentary hack'n slash, with a very slight touch of adventure.",Adventure
2297,Monster House,DS,7/20,THQ,2006.0,+3 ans,"A barely disguised homage to the cardboard facades of ghost trains, with marchmallow and artificial cobwebs included, the front of a hideous hut welcomes us to the title screen and promises some joyful dirty hours. Faced with a film full of ambitions (we have heard of, among other things, the revival of animated films for children), it is easy to perceive the video game adaptation on DS as a fairground and parodic ride. Won: it's this niche that THQ chooses from the start since it's a naughty hack'n slash, closer, however, to the ancient Loaded than to Gauntlet.",Adventure
