Name,Platform,Tags
Midnight Club: Street Racing,GBA,"given the quality of the home console versions of midnight club, we expected a successful gameboy advance port. unfortunately the disappointment is huge. the cartridge tested today is indeed riddled with defects that are very difficult to forgive. instead, read the following and you will understand... racing rebellion"
Midnight Club 3: DUB Edition,PSP,"not really creating a surprise, the main tuning games flow into the psp, not even giving it time to take the plunge. along with need for speed ​​underground rivals, midnight club 3 is also coming to our psp. having not left a lasting memory on home consoles, despite good ideas and quality production, rockstar's software is in fact trying to find new legitimacy. will the old fox find a new hunting ground, or will he stay in his den on an empty stomach? response with loud flashes of neon. racing take-two interactive"
Midnight Mysteries: The Edgar Allan Poe Conspiracy,PC,"we thought the point'n'click genre was dead and buried since the end of the 90s but that was without counting on independent studios which, for several years, have been releasing new little gems such as machinarium or the tiny bang story. midnight mysteries: the conspiracy of edgar allan poe appeared in july 2009 on the steam platform and puts us in the shoes of a young contemporary novelist in search of ideas for his next work. also an investigator at heart, the hero will have to search the game's numerous tables for a host of hidden objects in order to solve the mystery surrounding the death of author edgar allan poe. adventure gsp"
Midnight Play! Pack,DS,"gameloft is a key developer in the field of mobile games, but also in that of casual and family games, as evidenced by the success of cerebral challenge on xbox live arcade. midnight play! pack combines these two know-how: a compilation of five great gameloft classics on a mobile phone, it allows you to indulge, alone or with others, in a range of popular activities in the saturday evening atmosphere of trendy bars . misc ubisoft"
Midway Arcade Treasures: Extended Play,PSP,"after having moderately convinced its world through its compilations of old titles from the firm on pc and home consoles, midway is at it again and trying to pass off its midway arcade treasure: extended play incognito. unfortunately for the company, their attempt to bypass a market saturated with ""best of"" 80s trends is turning into an old trafalgar stunt. let's enter this strange world, full of big pixels and stinging music in order to understand the interest we had, small and innocent, in distributing newspapers or in exterminating aliens who are inevitably slobbery and perverse. a journey from which no one will emerge unscathed, rest assured. misc midway games"
Might & Magic Heroes VI,PC,"you can put away your tissues, the sinking of black hole entertainment did not mean the end of might & magic heroes vi. the title indeed returns from darkness through a stand-alone which plays the darkness card. this one focuses on the fate of dark elves and necromancers. are the additions worth the detour or will the few persistent technical issues prevent you from fully enjoying the experience? role-playing ubisoft"
Might & Magic Heroes VI,PC,"renamed might & magic heroes to harmonize the titles of all the games in the license, heroes of might & magic is back in a sixth installment still supervised by ubisoft, but this time entrusted to the hungarians of black hole entertainment. the latter endeavored to return to the basics of heroes iii, which is considered the most successful episode, while introducing certain developments intended to bring the series into modernity. role-playing ubisoft"
Might & Magic Heroes VII,PC,"might and magic heroes vii (m&mh vii) is a dilemma for its developer limbic. blowing out its twenty candles, the license is bound hand and foot by the almost mystical veneration of fans for the third episode of the saga, released recently in an hd version stripped of its dlc. because since the release of the fourth part, the innovations have divided, the additions have disconcerted and might & magic has constantly come up against the pleas of players. for this seventh episode, the germans from limbic, still under the leadership of ubisoft, opted for a community approach centered around listening to the community's grievances. the result is a title in the “best of” spirit of the main popular principles of the license, without taking much risk of course, but in the image of what the players wanted to find. is this a success? answers without further ado in this test. strategy ubisoft"
Mike Tyson Boxing,GBA,aficionados of the pleasures of the ring will be happy to learn of the release of a new boxing game on gba. unfortunately a large number of them will quickly become disillusioned at the sight of certain defects that it is difficult to forgive in this cartridge. sports ubisoft
Minecraft,PS4,"“minecraft is immortal”, that’s pretty much what mojang wants to say to the whole world with this second console adaptation for the web ufo that has conquered the planet. after all, with more than 55 million copies sold, all platforms combined, we can understand the enthusiasm at sony and microsoft about this ""new-gen"" update of the title. happy owners of playstation 4 and xbox one can therefore tease the pixel without feeling insulted towards the gpu of their console because minecraft, despite its somewhat dated graphic appearance, remains an experience that absolutely must be tested. misc sony computer entertainment europe"
Mini Desktop Racing,Wii,all those who have known the era of micromachines know that this is a safe bet of multiplayer. this pioneer series has been able to set up a completely new concept in the field of racing games and it is shameless that the data design interactive studio offers a failed copy that we would have gone well. racing popcorn arcade
Mini Ninjas,PC,"the developers of hitman and kane & lynch hit where we least expected them. while they had accustomed us to mature and violent titles, here they are creating a game accessible to the youngest. but where most developers botch productions intended for players in short pants, the io interactive teams had the good taste to take care of their baby. action eidos interactive"
Mini Ninjas,DS,"the versions of mini ninjas released on home consoles have seduced us, but that does not necessarily mean that the title that awaits us on ds is as enchanting as the others. indeed, the adaptation of a license on nintendo's small laptop always results in a graphical overhaul and an overhaul of the gameplay. the developers are doing more or less well with this exercise and it must be recognized that mini ninjas does not really set a good example in this area. action eidos interactive"
Mini Ninjas,Wii,"the developers of hitman and kane & lynch hit where we least expected them. while they had accustomed us to mature and violent titles, here they are creating a game accessible to the youngest. but where most developers botch productions intended for players in short pants, the io interactive teams had the good taste to take care of their baby. action eidos interactive"
Mini Ninjas,PS3,"the developers of hitman and kane & lynch hit where we least expected them. while they had accustomed us to mature and violent titles, here they are creating a game accessible to the youngest. but where most developers botch productions intended for players in short pants, the io interactive teams had the good taste to take care of their baby. action eidos interactive"
Minority Report: Everybody Runs,GBA,"also released on 128-bit consoles, steven spielberg's latest film starring tom cruise in an adaptation of a short story by philip k. dick makes a moderately notable appearance on gba. a title which mainly suffers from its lack of ambition and which will therefore only interest die-hard fans of the film. action activision"
Minority Report: Everybody Runs,PS2,"march 2003, activision is preparing to launch a playstation 2 title on the market which is none other than the adaptation of the film minority report. crime must be stopped at all costs before it takes place. agent logan, you must prevent this crime at all costs and warn players who would like to get their hands on this illicit product thinking they will have as much fun playing this game as watching steven spielberg's little cinematic gem. action activision"
Mirror's Edge,PC,"in just a few months, electronic arts and dice had no difficulty creating an ultra-positive buzz around mirror's edge. very quickly attractive, the one that we can consider as a ufo has however never fully revealed itself, being content with snippets of gameplay and a short demo. so here is our truth about the first part of a trilogy which, without a doubt, already has many fans. the details of this pc version are found in the note block and in conclusion. platform electronic arts"
Mirror's Edge,PS3,"in just a few months, electronic arts and dice had no difficulty creating an ultra-positive buzz around mirror's edge. very quickly attractive, the one that we can consider as a ufo has however never fully revealed itself, being content with snippets of gameplay and a short demo. so here is our truth about the first part of a trilogy which, without a doubt, already has many fans. platform electronic arts"
Mission: Impossible - Operation Surma,GBA,"hello mr. phelbs, your mission, if you accept it, will be to enter an irradiated military complex, guarded by 2580 men trained in combat since cm2, equipped with second generation movement sensors, blindfolded, naked , eating sauerkraut with one arm behind his back. you have five minutes, good luck. pssssch (sound of the tape self-destructing). impossible mission ? you have not seen anything yet. platform atari"
Mission: Impossible - Operation Surma,PS2,"your mission, if you accept it, will be to ride brilliantly or profitably on the success of the infiltration. your target is an nsa agent known by the code name splinter cell. be careful, the guy is super strong, so either you're as good as hell, or you're counting on the license to compensate for all the things that are completely screwed up in the game. how? have you chosen your method? okay then i'm self-destructing. platform atari"
Mobile Light Force 2,PS2,"mobile light force 2 is part of this wave of games that cross our borders discreetly, without really being invited. this time, it's a japanese shoot'em up called shikigami no shiro which is renamed mobile light force 2 in our latitudes, why, how? no idea, the only thing i can tell you is that you will get the hang of it very quickly. shooter taito"
Mobile Suit Gundam: Federation vs. Zeon,PS2,"unconditional gundam fans, be happy, infogrames is thinking of you by distributing this umpteenth video game adaptation of the famous japanese series. a title that only a fan will be able to appreciate and that the average player will quickly drop in a dusty corner. simulation atari"
Mobile Suit Gundam: Crossfire,PS3,"anthology series that has rocked and still rocks generations of japanese, gundam is a myth that we hardly dare criticize on the archipelago, for fear of finding ourselves in the pillory. if many video game adaptations have paid homage to the mobile suits and other federation fighters, the quality has often rubbed shoulders with mediocrity to the happiness and misfortune of hardened fans. gundam: target in sight therefore had to honor the creation of tomino and yadate as the first representative of the legend on ps3. it's a shame that this idea didn't occur to the developers. simulation namco bandai games"
ModNation Racers,PSP,"by launching modnation racers on ps3, sony managed to impose a concept. it is therefore logical that the manufacturer would benefit from this in its portable console. if the communication around this version was rather timid, we expected a title of equivalent quality. it's missed. racing sony computer entertainment"
ModNation Racers,PS3,"modnation racers wants to be for sony consoles what mario kart is for nintendo consoles: a fun and friendly racing game, totally unbridled to play mainly in multiplayer, whether split screen or online. mission accomplished ? racing sony computer entertainment"
Ghostbusters: The Video Game,PSP,"we are now accustomed to the endless release of video game adaptations of successful films and series. of average quality, or sometimes frankly failures because they were developed too quickly or with a blatant lack of resources, it must be admitted that the trend is now towards a slight improvement in the general level of these titles. despicable me: does the video game follow this progression? answer in this test... action atari"
Ghostbusters: The Video Game,PSP,"we may say that the 80s were a long journey through the cultural desert, but they nevertheless produced a lot of good things. between two conceptual hairstyles and the fluorescent mittens, they gave birth to ghostbusters. action atari"
Ghostbusters: The Video Game,PS2,"we are now accustomed to the endless release of video game adaptations of successful films and series. of average quality, or sometimes frankly failures because they were developed too quickly or with a blatant lack of resources, it must be admitted that the trend is now towards a slight improvement in the general level of these titles. despicable me: does the video game follow this progression? answer in this test... action atari"
Ghostbusters: The Video Game,PS2,"we may say that the 80s were a long journey through the cultural desert, but they nevertheless produced a lot of good things. between two conceptual hairstyles and the fluorescent mittens, they gave birth to ghostbusters. action atari"
Ghostbusters: The Video Game,Wii,"we are now accustomed to the endless release of video game adaptations of successful films and series. of average quality, or sometimes frankly failures because they were developed too quickly or with a blatant lack of resources, it must be admitted that the trend is now towards a slight improvement in the general level of these titles. despicable me: does the video game follow this progression? answer in this test... action atari"
Ghostbusters: The Video Game,Wii,"we may say that the 80s were a long journey through the cultural desert, but they nevertheless produced a lot of good things. between two conceptual hairstyles and the fluorescent mittens, they gave birth to ghostbusters. action atari"
Mojo!,PS2,"in these times of video game shortage, it is rare to come into contact, not with occult forces (although...), but with software offering a real scenario. mojo's! easily surpasses small-scale productions like chrono cross or even xenogears. you are a ball of mojo, source of life, and must recover this fluid trapped in ice cubes by a diabolical force, in order to restore peace in the universe. it takes my breath away. puzzle mindscape"
Monopoly,DS,"one of the most popular board games comes to ds. after participating in a compilation of board games on this same machine, monopoly invests an entire cartridge. misc electronic arts"
Monopoly Party,PS2,"how can we understand this strange determination to make a user-friendly board game a video game devoid of meaning and interest? monopoly party, a strict replica of the original game, brings nothing new apart from a boring, cheap and almost annoying version of this international hit. misc infogrames"
Monopoly,Wii,"who doesn't know monopoly? one of the most popular board games for decades, it has crossed generations by livening up family evenings, whether young children or their ancestors. today, monopoly streets invites you to rediscover the world of board games on your home console. with success ? misc electronic arts"
Monopoly,PS3,"who doesn't know monopoly? one of the most popular board games for decades, it has crossed generations by livening up family evenings, whether young children or their ancestors. today, monopoly streets invites you to rediscover the world of board games on your home console. with success ? misc electronic arts"
Monster Force,GBA,"it is very difficult today to be a monster. we are constantly rejected by others, we are misunderstood, and we have no friends. however, the monsters are not mean! okay, they have a dirty face and a constipated pepper process, but hey they are still nice, right? shooter universal interactive"
Monster High: Ghoul Spirit,DS,"originally, there were the mattel dolls and then came the animated series. if in itself the idea of ​​offering toys inspired by classic horror films was original, established conventions quickly caught up with the creators. in fact, if the objective was to make the little girls spend money to dress their little ones in plastic, the series presented itself as a sort of saved by the bell sprinkled with a little touch of madness. as one might expect, the video game uses the formula by integrating objectives, customization and chatter. misc thq"
Monster High: Ghoul Spirit,Wii,"originally, there were the mattel dolls and then came the animated series. if in itself the idea of ​​offering toys inspired by classic horror films was original, established conventions quickly caught up with the creators. in fact, if the objective was to make the little girls spend money to dress their little ones in plastic, the series presented itself as a sort of saved by the bell sprinkled with a little touch of madness. as one might expect, the video game uses the formula by integrating objectives, customization and chatter. misc thq"
Monster House,GBA,"a barely disguised homage to the cardboard facades of ghost trains, with marchmallow and artificial cobwebs included, the front of a hideous hut welcomes us to the title screen and promises some joyful dirty hours. faced with a film full of ambitions (we have heard of, among other things, the revival of animated films for children), it is easy to perceive the video game adaptation on gba as a fairground and parodic ride. won: it is this niche that thq chooses from the start since it is a rudimentary hack'n slash, with a very slight touch of adventure. adventure thq"
Monster House,DS,"a barely disguised homage to the cardboard facades of ghost trains, with marchmallow and artificial cobwebs included, the front of a hideous hut welcomes us to the title screen and promises some joyful dirty hours. faced with a film full of ambitions (we have heard of, among other things, the revival of animated films for children), it is easy to perceive the video game adaptation on ds as a fairground and parodic ride. won: it's this niche that thq chooses from the start since it's a naughty hack'n slash, closer, however, to the ancient loaded than to gauntlet. adventure thq"
Monster House,PS2,"like many other animated films before it, monster house could not be released in theaters without leading to a video game adaptation. offered by thq on home and portable consoles, the different versions therefore arrive at the same time as the film, and we will focus here on the version available on gamecube and ps2. adventure thq"
Monster Hunter,PS2,"imagine that the world we know, built with our certainties and our actions, had evolved differently. just imagine that the dinosaurs did not disappear, but managed to evolve in coexistence with the human race. monster hunter performs this intellectual gymnastics for you, extracting from the most fertile imaginations a world composed of history and fantasy. universe in which the equality of species is posed as an unalterable value, where each life must be fiercely contested, torn between bestial violence and the desire for unalterable tranquility. these contrary desires often merge into a much more atavistic reflex which is that of pure hunting, for intense pleasure. in this, men are the most uncompromising and the most passionate. role-playing capcom"
Monster Jam,DS,"monster jam invites us to drive huge monster trucks to smash everything in our path. alas, the least we can say is that the result is far from resounding... racing activision"
Monster Jam,Wii,"monster jam invites us to drive huge monster trucks to smash everything in our path. alas, the least we can say is that the result is far from resounding... racing activision"
Monster Jam,PS2,"monster jam invites us to drive huge monster trucks to smash everything in our path. alas, the least we can say is that the result is far from resounding... racing activision"
Monster Jam,PC,"monster jam invites us to drive huge monster trucks to smash everything in our path. alas, the least we can say is that the result is far from resounding... racing activision"
Monster Jam: Path of Destruction,PS3,"big wheels, a powerful engine, crazy stunts... welcome to the glamorous world of monster truck events, pure uncle sam-style fun. racing activision"
Monster Jam: Path of Destruction,Wii,"big wheels, a powerful engine, crazy stunts... welcome to the glamorous world of monster truck events, pure uncle sam-style fun. racing activision"
Monster Jam: Maximum Destruction,GBA,"ubi-soft today gives you the opportunity to let off steam with monster jam maximum destruction. mixing driving and combat, this new cartridge is likely to hurt a lot. maybe even a little too much... racing ubisoft"
Monster Kingdom: Jewel Summoner,PSP,"released in 2006 in japan on psp, monster kingdom: jewel summoner is an unabashed pokémon-like that hopes to find fans of nintendo's little beasts at sony. the game therefore offers to capture, train and fight more than a hundred creatures, sometimes cute, sometimes frightening. a risky bet to want to be compared to pikachu and company: could the developers from gaia have been too ambitious? role-playing sony computer entertainment"
Monster Lab,PS2,"following a rather successful ds version, the ps2 version from monster lab is arriving. almost similar to that of its little sister, monster lab ps2 therefore takes up the concept of ""monster maker"" under the cover of a beautiful gothic atmosphere worthy of hammer films. taking advantage of a very distinctive graphic style, the backbone title offers us an original and refreshing experience. role-playing eidos interactive"
Monster Lab,Wii,"following a rather successful ds version, the wii version of monster lab is arriving. almost similar to that of its little sister, monster lab wii therefore takes up the concept of ""monster maker"" under the cover of a beautiful gothic atmosphere worthy of hammer films. taking advantage of a very distinctive graphic style, the backbone title offers us an original and refreshing experience. role-playing eidos interactive"
Monster Lab,DS,"spiritual son of the much forgotten and yet very sympathetic metal masters, monster lab takes on the universe of frankenstein under the aegis of the fighting game. while making fun of mary shelley's novel, the developers of backbone had the idea of ​​making us take on the role of the creator and the creature for an explosive result. was the experiment successful? this is what the account below attempts to answer. role-playing eidos interactive"
Monster Trucks DS,DS,"the oldest among you surely remember particularly fun titles featuring monster trucks decked out in bright colors and big wheels. bearing the sweet names of monster trucks madness or simply monster trucks, these softwares gave the opportunity to take immediate pleasure without trying to tire the player or lock them into an overly simulation aspect. good memories that the majesco title seems to want to reintroduce into nintendo's portable. but will he have enough fuel to get there? racing majesco entertainment"
Monster Trux Arenas: Special Edition,Wii,"popcorn arcade games continue to flood the wii toy library. as unconvincing as his brothers, monster trux arenas is growing the ranks of a family whose fun tares do not seem to convince data design to stop the massacre. racing popcorn arcade"
"Monsters, Inc.",GBA,"it's the gba's turn to welcome the company of monsters in an action game. the pixar universe lends itself wonderfully well to video games. and yet, this version of monsters and company leaves a taste of déjà vu... adventure thq"
TouchMaster 2,DS,"barely a little over a year after the first touchmaster, midway is back at it again by rewarding us with a more touchmaster. however, don't be fooled by its name since the game only has a ""more"" than its price, the number of tests going from 23 to 20. and there, i think you have a hell of a clue about the quality of this title. puzzle midway games"
Mortal Kombat,PS3,"in almost 20 years of existence, the mortal kombat series has had many ups and downs. nerdy for some, cult for others, it has always divided the gaming community. will the return to hd sources discussed today finally succeed in getting everyone to agree? fighting warner bros. interactive entertainment"
Mortal Kombat: Deadly Alliance,GBA,"mortal kombat continues to surprise. if the saga has experienced ups and downs on living room machines, on a laptop it has never been able to convince. once again, midway shows us that nothing is engraved in marble. fighting midway games"
Mortal Kombat: Deadly Alliance,PS2,"mortal kombat is a bit like the ugly duckling of fighting. after a decent first part, the series only got bogged down in an escalation of violence which barely veiled gameplay that was less and less viable. today the game is making a comeback and manages to surprise us where we no longer expected much. fighting midway games"
Mortal Kombat: Shaolin Monks,PS2,"the first words we think when we talk about mortal kombat can range from fatalities to gore without forgetting christophe lambert for the most masochistic of you. mortal kombat, it is not just cries, tears and blood. it is also a story which, as simple as it is, tries to build a coherent universe where the forces of evil and good have been tearing themselves off for decades to obtain control of the two universes that are the kingdom of the earth and the outside world. in this sense, shaolin monks is a new chapter of this imposing collection who knowingly chooses to come back in time to tell us about the exploits of liu kang and kung lao. action midway games"
Mortal Kombat: Unchained,PSP,"by playing this mortal kombat: unchained, we realize that the enormous work carried out by the development teams has served to right the boat which has been taking on a little water for some time. benefiting from a double-edged reputation, the series has always focused on heightened violence rather than gameplay requiring technicality at every moment. but today this period seems to be over, even if you will once again benefit from the famous “finish him” inseparable from the series. deadly alliance having opened the ball in 2003, unchained follows the same path, this time focusing on refined gameplay, various small bonus games without forgetting a rather surprising quest mode. fighting midway games"
Mortal Kombat: Armageddon,Wii,"mortal kombat mystification will have established the mk series for the next few years. aesthetically successful, with an unsuspected depth, mystification was in a way the passage from the chrysalis to the butterfly by allowing the boone brothers to glimpse the future with serenity. however, if we can now impatiently await each opus of mortal kombat, armageddon no longer benefits from the element of surprise and must therefore do better than its predecessor. and on this point, is it really successful? fighting midway games"
Mortal Kombat: Armageddon,PS2,"mortal kombat mystification will have established the mk series for the next few years. aesthetically successful, with an unsuspected depth, mystification was in a way the passage from the chrysalis to the butterfly by allowing the boone brothers to glimpse the future with serenity. however, if we can now impatiently await each opus of mortal kombat, armageddon no longer benefits from the element of surprise and must therefore do better than its predecessor. and on this point, is it really successful? fighting midway games"
Mortal Kombat: Deception,PS2,"by playing this mortal kombat: mystification, we realize that the enormous work carried out by the development teams have been used to straighten the boat which had been taking the water a little for some time. benefiting from a double -edged renowned, the series has always bet on exacerbated violence rather than a gameplay inducing a technicality of every moment. but today this period now seems over, even if you will once again benefit from the famous ""finish him"" ​​inseparable from the series. deadly alliance having thus opened the ball last year, mystification follows it very closely by betting this time, in addition to an astonishing graphic quality, on a refined gameplay, various small bonus games without forgetting a fairly surprising quest mode. fighting midway games"
Mortal Kombat Mythologies: Sub-Zero,N64,"it was at the very beginning of the 90s that the mortal kombat series began to trace its bloody letters in the history of video games. with its digitalized characters and a very pronounced taste for hemoglobin, the franchise had already, in its time, marked an entire generation of gamers. the hyper-violent fighting game of an entire era nevertheless underwent a curious reconversion in 1997, when mortal kombat mythologies sub-zero burst onto nintendo 64. indeed, for the first time in its history, the saga intended to leave the beaten paths of the baston to explore other horizons. the genesis of one of the most emblematic characters had indeed just come to light. fighting midway games"
Mortal Kombat vs. DC Universe,PS3,"anxious to refresh its mortal kombat license by all means, midway decided this year not only to introduce new gameplay elements but also and above all to invite the heroes of dc comics to the party. and although the improbable meeting between two completely opposite universes is sometimes difficult to convince, mortal kombat vs dc universe does not lack assets to seduce fighting enthusiasts. fighting midway games"
Mother 3,GBA,"initially announced for nintendo 64 in 1996, then canceled in 2000 following considerable delays, mother 3 was finally reborn from its ashes on gba in april 2006 to the delight of fans of the series. the wait will therefore have lasted 12 years since earthbound, the only episode to have had the honor of being released in the united states. this third and, a priori, final opus has the difficult task of succeeding this cult super nes game. has the new kid surpassed the legend? role-playing nintendo"
Moto Racer Advance,GBA,"the collection of motorcycle games on gba is growing today with motoracer advance. fierce races and other speed tests are on the program for this new cartridge developed by adeline software. if the game seems to be classic at first glance, it nevertheless includes its share of innovations which differentiate it from other titles of the same genre... racing ubisoft"
Moto Racer DS,DS,"nobilis and artefacts studio have decided to resurrect moto racer, a legendary arcade racing game developed by the late delphine software in 1997. great for them, because the title turns out to be more catchy than ever and may well become a new reference in the field of racing on ds. racing nobilis"
Motocross Mania 3,PS2,"it's funny though. when a studio likes to develop an extreme sport software, whether surfing, cycling, or skateboarding, the latter tries at each instance to insert an aggressive soundtrack, preferably californian rock. , because it feels rebellious, and young people are all potential monuments of subversion. furthermore, this soundscape is often accompanied by young girls quite undressed and simply arranged to attract a male clientele, associated with outrageous language because it is ""cooler"". but by mixing so many things that ""snap"", that tear, and that ""rip the elastic"", we sometimes end up obtaining a relatively indigestible mixture. fortunately some titles are spared. but not motocross mania 3. racing take-two interactive"
MotoGP,PSP,"forgotten on ps2, the gp motorcycle series has not yet perished. the proof with its return to psp, rather wise since the console was terribly lacking in games of the genre. a title which draws on the 2005 and 2006 licenses of the most popular championships in the discipline while offering the choice of simulation or arcade gameplay. racing sony computer entertainment"
MotoGP,GBA,"i'm sure that motorcycle friends will be happy to learn of the release of moto gp on gba. however, don't get excited too quickly. thq's latest production does not live up to its promises. little originality and sometimes sloppy finishing are not worthy of a good production. in-depth study of a not-so-great game... racing thq"
MotoGP,PS2,"namco invites us to file the toe clips and spit out the watts on some of the motorcycle grand prix circuits in the 500 category, budding doohans just have to hold on to this title which nevertheless floats between two waters. racing namco bandai games"
MotoGP 07,PS2,"many have been caught. motogp 07 has nothing to do with motogp'07. one is developed by capcom and exclusive to the ps2 console, the other is the result of the climax&#47;thq association and is only available on xbox 360 and pc. the spelling difference, as subtle as it is, goes hand in hand with the few details that make these two titles two very distinct motorcycle simulations. racing capcom"
MotoGP 08,PS2,"one motogp can hide another. deserted by motogp'08, the market welcomes the return of motogp 08. the spelling difference is minimal but it is enough to distinguish the two series, one dear to thq, the other to capcom. it is the latter which arrives for the very first time on all new generation machines, freed from the influence of sony. racing capcom"
MotoGP 08,PS3,"one motogp can hide another. deserted by motogp'08, the market welcomes the return of motogp 08. the spelling difference is minimal but it is enough to distinguish the two series, one dear to thq, the other to capcom. it is the latter which arrives for the very first time on all new generation machines, freed from the influence of sony. racing capcom"
MotoGP 09/10,PS3,"after a year and a half of absence, motogp is making its return to consoles. capcom's game arrives in the middle of the off-season in a new format, based on the 2009 season but upgradeable to 2010 within a few months. racing capcom"
MotoGP 10/11,PS3,"after having established the concept of the motorcycle game with evolving content last year, capcom is obviously continuing its momentum and offering us a new version of its motogp, still straddling two seasons. between technical stagnation, small accessory novelties and slightly less arcade gameplay than in the previous opus, the title could well rekindle a little the flame of those who, out of spite, had turned to the competitor. racing capcom"
MotoGP 14,PS4,"after an encouraging, if not perfect, return last year, motogp is back in 2014, still under the leadership of italian developer milestone. we hope that the absence of competition will not be harmful to this title which really needs something new. so, verdict? racing milestone s.r.l."
MotorStorm,PS3,"nobody had really thought about it, but races in the slush, in the middle of the desert, and between an armada of vehicles of all kinds, loaded with a turbo that tends to raise the temperature, it's a theater ideal for a festival of muscular collisions and spectacular accidents. a show that features impeccable fluidity. and in this area, motorstorm is very effective. racing sony computer entertainment"
MotorStorm: Arctic Edge,PS2,"after delighting free ride enthusiasts on playstation 3, motorstorm arrives today on ps2 in a version that is certainly lighter but oh so delightful. put on your mittens, and close your jacket tightly because it is in the extreme cold of alaska that arctic edge meets us. racing sony computer entertainment"
MotorStorm: Arctic Edge,PSP,"after having made the happiness of lovers of free ride on playstation 3, motorstorm arrives today on psp in a version certainly lightened but oh so pleasant. put on your mittens, and close your jacket tightly because it is in the extreme cold of alaska that arctic edge meets us. racing sony computer entertainment"
MotorStorm: Apocalypse,PS3,"after touring the desert of monument valley and taming the four natural elements all over the world, the motorstorm drivers set themselves a new challenge: defy death by taking advantage of the chaos sown by the apocalypse in urban or offroad settings about to be literally swallowed up. it's creepy but that's what makes the personality of this community of pilots decidedly unlike any other... racing sony computer entertainment"
MotorStorm: Pacific Rift,PS3,"tired of the desert of monument valley, the army of drivers from the motorstorm festival is heading to the pacific this year. ready to defy the four natural elements, they intend to offer us a richer adventure than in march 2007, when the racing game landed on ps3. racing sony computer entertainment"
CrossworDS,DS,"like it or not, the ds has conquered a large audience which goes far beyond the usual player profile. you just have to see the latest television advertisements of the brain training program with, among other things, michèle laroque, to be convinced. with this new audience of quinqua, it is not surprising to find cartridges of their favorite game: crosswords. puzzle deep silver"
CrossworDS,DS,"clearly aimed at a senior audience, mots croisés 2 presents itself as an imposing collection of 560 grids to fill in with a stylus on ds. unfortunately, it's a safe bet that its poorly thought out production and questionable playability will put off most traditional cruciverbists. puzzle deep silver"
CrossworDS,DS,"bringing crosswords to as many people as possible is the challenge that this cartridge for nintendo ds will attempt to meet. a challenge when we know the austerity of this type of production, which has nevertheless been on the rise since professor kawashima's brain training program. puzzle deep silver"
Mister Mosquito,PS2,"no, you're not dreaming ! mr moskeeto is indeed the first mosquito simulation in the history of video games. and if this pearl of originality was able to achieve the feat of reaching us, it is thanks to eidos who took the courageous initiative of publishing the best typically japanese games under the fresh games label. this is a title like we rarely see. not necessarily revolutionary or truly perfect, but definitely unforgettable! shooter eidos interactive"
Ms. Pac-Man Maze Madness,GBA,"can we create characters less charismatic than the pac-man family? we must believe not. since their creation, nothing has been worse than these voracious yellow balls. however, that does not prevent them from still being exploited by namco in new titles. this time it's madame who sets out to attack the gba. puzzle zoo digital publishing"
MTV Celebrity Deathmatch,PS2,"mtv celebrity deathmatch is the very type of game that is very fun to play for a good laugh, but only at a friend's house. overall, it's easy to have a good time with this title but especially if you weren't the one spending your money. that's it, it's said. you can now move on or continue reading the following if you want to know what exactly it is. fighting gotham games"
MTX Mototrax,PSP,"already popular with the latest in the atv series, motocross races find in mtx mototrax an alternative to the joys of ""events"" during which the riders end up black with mud, their visors no longer really functional, their arms still trembling. a title that is classic, even timid, repeating line by line, competition by competition, challenge by challenge, the trajectory of an average game of the genre. without the element of surprise, the quality must be there otherwise it will only appeal to aficionados of the discipline. racing activision"
MTX Mototrax,PS2,"if we tend to forget that there are not only the four wheels in life, here is a new proof of this state of facts in the person of mtx mototrax. what more can i say if it is only under this title, hides a very pleasant title in all respects focusing on excessive jumps and small rural walks full of dust and mud. racing activision"
Mugen Souls,PS3,"often housed in a separate branch of video games, the japanese tactical rpg maintains this niche image in which some keen enthusiasts of compulsive grinding persist for hours. however, stopping at this portrait could well make you miss some gems, starting with this mugen souls. role-playing nippon ichi software"
Muramasa: The Demon Blade,Wii,"after paying a beautiful tribute to scandinavian myths with odin sphere, the vanillaware team once again dares to dazzle us with a title which now takes ancestral japanese folklore as its framework. and if muramasa already impresses with its magnificent 2d production, it also fascinates with the supercharged nature of its gameplay. role-playing rising star games"
Murdered: Soul Suspect,PS3,"no luck, you're dead. while you are tracking down a particularly sadistic criminal in the mythical town of salem, you have an almost fatal fall caused by your prey who will rush to come and pepper you with pellets just to ensure that the job has been well done. but instead of joining the police paradise, you find yourself stuck on earth and for the first time apprehend your status as an ectoplasm addicted to nicotine. solving this sinister murder case is then the only option to send you ad patres, definitively this time. welcome to murdered: soul suspect. action square enix"
Murdered: Soul Suspect,PC,"no luck, you're dead. while you are tracking down a particularly sadistic criminal in the mythical town of salem, you have an almost fatal fall caused by your prey who will rush to come and pepper you with pellets just to ensure that the job has been well done. but instead of joining the police paradise, you find yourself stuck on earth and for the first time apprehend your status as an ectoplasm addicted to nicotine. solving this sinister murder case is then the only option to send you ad patres, definitively this time. welcome to murdered: soul suspect. action square enix"
